# length                 R                      Z                      theta_geo              Phi                    T_e                    Te_float               Phi_float              Phi_error              Phi_Te_ratio           vparB_norm             vExB_norm              vflow_norm             partF_vpar             partF_ExB              
# time step #000500,  t_now =   1.411010E+02
  0.000000000000000E+00  1.587322170312743E+00 -1.171742797941566E+00  4.659052622460560E+00  1.846035172893439E+01  6.153450576312297E+00  6.153450576312297E+00  1.846035172893689E+01 -2.497557716196752E-12  2.999999999999594E+00  2.609687418815221E+03 -1.383160990278542E+02  2.471371319787367E+03  2.160299534517129E+21 -1.144980821043133E+20
  0.000000000000000E+00  1.587437230389440E+00 -1.171330762876592E+00  4.659132878010168E+00  1.856846101995629E+01  6.189487006653292E+00  6.189487006653292E+00  1.856846101995988E+01 -3.584688101909705E-12  2.999999999999420E+00  2.620345467130048E+03 -1.315758121205706E+02  2.488769655009477E+03  2.172352531997191E+21 -1.090806735963577E+20
  0.000000000000000E+00  1.587550039967020E+00 -1.170926786946390E+00  4.659211620030817E+00  1.866912616152638E+01  6.223042053842993E+00  6.223042053842993E+00  1.866912616152898E+01 -2.597033699203166E-12  2.999999999999583E+00  2.630066549175096E+03 -1.247506320435308E+02  2.505315917131566E+03  2.183675972451757E+21 -1.035772109367612E+20
  0.000000000000000E+00  1.587662849544756E+00 -1.170522811016231E+00  4.659290417771432E+00  1.876432274572441E+01  6.254774248574944E+00  6.254774248574944E+00  1.876432274572483E+01 -4.263256414560601E-13  2.999999999999932E+00  2.639052595941575E+03 -1.176659349449202E+02  2.521386660996655E+03  2.194498981651720E+21 -9.784487615321535E+19
  0.000000000000000E+00  1.587775659122493E+00 -1.170118835086073E+00  4.659369271290061E+00  1.885384775511556E+01  6.284615918371272E+00  6.284615918371272E+00  1.885384775511382E+01  1.744382416291046E-12  3.000000000000278E+00  2.647271819761578E+03 -1.103216657127075E+02  2.536950154048870E+03  2.204794780268532E+21 -9.188200127322558E+19
  0.000000000000000E+00  1.587888468700072E+00 -1.169714859155870E+00  4.659448180644830E+00  1.893749817226506E+01  6.312499390754108E+00  6.312499390754108E+00  1.893749817226233E+01  2.732036818997585E-12  3.000000000000433E+00  2.654692681288184E+03 -1.027177692348560E+02  2.551974912053328E+03  2.214536499172810E+21 -8.568684830735965E+19
  0.000000000000000E+00  1.587998953894042E+00 -1.169319206940807E+00  4.659525518291209E+00  1.901352338024310E+01  6.337841126746965E+00  6.337841126746963E+00  1.901352338024089E+01  2.209787908213912E-12  3.000000000000348E+00  2.661170071173036E+03 -9.497224718051255E+01  2.566197823992524E+03  2.223525857143487E+21 -7.935353309599175E+19
  0.000000000000000E+00  1.588109439087497E+00 -1.168923554725600E+00  4.659602909607014E+00  1.908345639749390E+01  6.361152132497616E+00  6.361152132497616E+00  1.908345639749285E+01  1.051603248924948E-12  3.000000000000166E+00  2.666839612488209E+03 -8.688417063364531E+01  2.579955441854563E+03  2.231947609853916E+21 -7.271562791846069E+19
  0.000000000000000E+00  1.588219924280953E+00 -1.168527902510394E+00  4.659680354647655E+00  1.914703468625771E+01  6.382344895419267E+00  6.382344895419267E+00  1.914703468625780E+01 -9.237055564881302E-14  2.999999999999985E+00  2.671657897290073E+03 -7.845346832457089E+01  2.593204428965502E+03  2.239764784383759E+21 -6.577088920867260E+19
  0.000000000000000E+00  1.588330409474922E+00 -1.168132250295330E+00  4.659757853468614E+00  1.920399570877475E+01  6.401331902925120E+00  6.401331902925120E+00  1.920399570877536E+01 -6.110667527536862E-13  2.999999999999905E+00  2.675581845716371E+03 -6.968006898367554E+01  2.605901776732696E+03  2.246940278992944E+21 -5.851697412773694E+19
  0.000000000000000E+00  1.588438545326380E+00 -1.167745010334427E+00  4.659833756456258E+00  1.925307273170478E+01  6.417690910568314E+00  6.417690910568314E+00  1.925307273170494E+01 -1.669775429036235E-13  2.999999999999974E+00  2.678526501597396E+03 -6.071543124236496E+01  2.617811070355031E+03  2.253315674140574E+21 -5.107697564277789E+19
  0.000000000000000E+00  1.588546680915570E+00 -1.167357770300287E+00  4.659909710835256E+00  1.929525178861044E+01  6.431750596203207E+00  6.431750596203207E+00  1.929525178860962E+01  8.135714324453147E-13  3.000000000000126E+00  2.680548427836103E+03 -5.135070500847158E+01  2.629197722827632E+03  2.259018903088973E+21 -4.327555215808084E+19
  0.000000000000000E+00  1.588654816504760E+00 -1.166970530266147E+00  4.659985716887564E+00  1.933023282004353E+01  6.443410940013909E+00  6.443410940013909E+00  1.933023282004173E+01  1.797673121473053E-12  3.000000000000279E+00  2.681590919106648E+03 -4.158580883843589E+01  2.640005110268212E+03  2.264001005138625E+21 -3.510987165823452E+19
  0.000000000000000E+00  1.588762952356217E+00 -1.166583290305244E+00  4.660061774895504E+00  1.935771576655585E+01  6.452571922184535E+00  6.452571922184535E+00  1.935771576655361E+01  2.245315045001917E-12  3.000000000000348E+00  2.681597685829183E+03 -3.142066128229328E+01  2.650177024546890E+03  2.268212816195959E+21 -2.657697200085874E+19
  0.000000000000000E+00  1.588868758381630E+00 -1.166204395240186E+00  4.660136244397429E+00  1.937699866800621E+01  6.458999556001480E+00  6.458999556001480E+00  1.937699866800444E+01  1.769251412042649E-12  3.000000000000274E+00  2.680559114210111E+03 -2.092831860629132E+01  2.659630795603819E+03  2.271550287452423E+21 -1.773500457199417E+19
  0.000000000000000E+00  1.588974564669801E+00 -1.165825500248502E+00  4.660210763749117E+00  1.938843949479224E+01  6.462813164930515E+00  6.462813164930515E+00  1.938843949479155E+01  6.963318810448982E-13  3.000000000000108E+00  2.678429743219770E+03 -1.011108453600604E+01  2.668318658683765E+03  2.274062691412652E+21 -8.584597065223109E+18
  0.000000000000000E+00  1.589080370957972E+00 -1.165446605256819E+00  4.660285332768467E+00  1.939180019773152E+01  6.463933399243962E+00  6.463933399243962E+00  1.939180019773189E+01 -3.659295089164516E-13  2.999999999999944E+00  2.675134783611675E+03  1.031105555935663E+00  2.676165889167611E+03  2.275684393602330E+21  8.771411579612050E+17
