# length                 R                      Z                      theta_geo              Phi                    T_e                    Te_float               Phi_float              Phi_error              Phi_Te_ratio           vparB_norm             vExB_norm              vflow_norm             partF_vpar             partF_ExB              
# time step #000500,  t_now =   1.411010E+02
  0.000000000000000E+00  1.583567318513551E+00 -1.185189083060966E+00  4.656464968254047E+00  1.146013547737699E+01  3.820045159125758E+00  3.820045159125758E+00  1.146013547737728E+01 -2.913225216616411E-13  2.999999999999924E+00  2.168577885885803E+03 -3.853052385725435E+02  1.783272647313259E+03  1.696419395279130E+21 -3.014137901485250E+20
  0.000000000000000E+00  1.583692315528325E+00 -1.184741463402156E+00  4.656550140865074E+00  1.178995981460357E+01  3.929986604867933E+00  3.929986604867933E+00  1.178995981460380E+01 -2.291500322826323E-13  2.999999999999942E+00  2.194178522671716E+03 -3.710820542265096E+02  1.823096468445207E+03  1.717619255754414E+21 -2.904857901116728E+20
  0.000000000000000E+00  1.583817312545172E+00 -1.184293843743925E+00  4.656635379502304E+00  1.210774403656677E+01  4.035914678855628E+00  4.035914678855628E+00  1.210774403656688E+01 -1.136868377216160E-13  2.999999999999972E+00  2.219621697920570E+03 -3.577566138553071E+02  1.861865084065263E+03  1.738775657637449E+21 -2.802542848239310E+20
  0.000000000000000E+00  1.583942309562018E+00 -1.183846224085693E+00  4.656720684239502E+00  1.241427309410590E+01  4.138091031368633E+00  4.138091031368633E+00  1.241427309410590E+01 -3.552713678800501E-15  2.999999999999999E+00  2.244869903326645E+03 -3.453291305447087E+02  1.899540772781936E+03  1.759862218201123E+21 -2.707202269446823E+20
  0.000000000000000E+00  1.584067306576792E+00 -1.183398604426883E+00  4.656806055150550E+00  1.271033193806027E+01  4.236777312686741E+00  4.236777312686741E+00  1.271033193806023E+01  4.618527782440651E-14  3.000000000000011E+00  2.269885919487052E+03 -3.337998173805017E+02  1.936086102106550E+03  1.780852734119593E+21 -2.618846666818483E+20
  0.000000000000000E+00  1.584191707315719E+00 -1.182953120052656E+00  4.656891084592754E+00  1.299531968058070E+01  4.331773226860292E+00  4.331773226860292E+00  1.299531968058088E+01 -1.758593271006248E-13  2.999999999999960E+00  2.294391291812031E+03 -3.230720411891726E+02  1.971319250622859E+03  1.801524862256418E+21 -2.536717762917252E+20
  0.000000000000000E+00  1.584316108055235E+00 -1.182507635678594E+00  4.656976179731147E+00  1.327123230101623E+01  4.423744100338959E+00  4.423744100338959E+00  1.327123230101688E+01 -6.501466032204917E-13  2.999999999999853E+00  2.318370275740604E+03 -3.129355514805019E+02  2.005434724260102E+03  1.821875476573240E+21 -2.459182698105121E+20
  0.000000000000000E+00  1.584440508794751E+00 -1.182062151304532E+00  4.657061340640151E+00  1.353858434763483E+01  4.512861449211986E+00  4.512861449211986E+00  1.353858434763596E+01 -1.136868377216160E-12  2.999999999999748E+00  2.341823807821206E+03 -3.033904879358487E+02  2.038433319885357E+03  1.841907764411575E+21 -2.386248245966764E+20
  0.000000000000000E+00  1.584564909533678E+00 -1.181616666930306E+00  4.657146567394302E+00  1.379789036870449E+01  4.599296789568614E+00  4.599296789568614E+00  1.379789036870584E+01 -1.351807554783591E-12  2.999999999999706E+00  2.364752832203492E+03 -2.944369902367483E+02  2.070315841966743E+03  1.861624900515591E+21 -2.317921878316748E+20
  0.000000000000000E+00  1.584688421544466E+00 -1.181174365125259E+00  4.657231250497876E+00  1.404785274987654E+01  4.682617583292561E+00  4.682617583292561E+00  1.404785274987768E+01 -1.142197447734361E-12  2.999999999999756E+00  2.386903842206138E+03 -2.860013929016060E+02  2.100902449304531E+03  1.880816991237836E+21 -2.253615205503420E+20
