# length                 R                      Z                      theta_geo              Phi                    T_e                    Te_float               Phi_float              Phi_error              Phi_Te_ratio           vparB_norm             vExB_norm              vflow_norm             partF_vpar             partF_ExB              
# time step #000500,  t_now =   1.411010E+02
  0.000000000000000E+00  1.583316685843013E+00 -1.186086609420176E+00  4.656294386479859E+00  1.140295305204163E+01  3.800984350681109E+00  3.800984350681109E+00  1.140295305204333E+01 -1.698197138466639E-12  2.999999999999553E+00  1.755261483515451E+03 -3.988580406244225E+02  1.356403442891028E+03  1.411662683512820E+21 -3.207801329069507E+20
  0.000000000000000E+00  1.583442002176946E+00 -1.185637846240198E+00  4.656379644260584E+00  1.174474660695717E+01  3.914915535652550E+00  3.914915535652550E+00  1.174474660695765E+01 -4.849454171562684E-13  2.999999999999876E+00  1.796138984739500E+03 -3.829280410484019E+02  1.413210943691098E+03  1.445214925007248E+21 -3.081127489737114E+20
  0.000000000000000E+00  1.583567318513551E+00 -1.185189083060966E+00  4.656464968254047E+00  1.207317249490123E+01  4.024390831633721E+00  4.024390831633721E+00  1.207317249490117E+01  6.750155989720952E-14  3.000000000000016E+00  1.836130070788908E+03 -3.683504249807903E+02  1.467779645808117E+03  1.478116132243140E+21 -2.965283964053750E+20
  0.000000000000000E+00  1.583692315528325E+00 -1.184741463402156E+00  4.656550140865074E+00  1.238857525335056E+01  4.129525084450171E+00  4.129525084450171E+00  1.238857525335051E+01  4.263256414560601E-14  3.000000000000010E+00  1.875076637511553E+03 -3.549800862011493E+02  1.520096551310404E+03  1.510240803831490E+21 -2.859111995763918E+20
  0.000000000000000E+00  1.583817312545172E+00 -1.184293843743925E+00  4.656635379502304E+00  1.269270835548832E+01  4.230902785162773E+00  4.230902785162773E+00  1.269270835548832E+01 -3.552713678800501E-15  2.999999999999999E+00  1.913050814946464E+03 -3.425658799398499E+02  1.570484935006614E+03  1.541652290989881E+21 -2.760603479521338E+20
  0.000000000000000E+00  1.583942309562018E+00 -1.183846224085693E+00  4.656720684239502E+00  1.298640755948882E+01  4.328802519829625E+00  4.328802519829625E+00  1.298640755948888E+01 -5.506706202140776E-14  2.999999999999987E+00  1.950017941447928E+03 -3.311080330750704E+02  1.618909908372858E+03  1.572326064195500E+21 -2.669769233414722E+20
  0.000000000000000E+00  1.584067306576792E+00 -1.183398604426883E+00  4.656806055150550E+00  1.327050862352638E+01  4.423502874508819E+00  4.423502874508819E+00  1.327050862352646E+01 -7.638334409421077E-14  2.999999999999983E+00  1.985943647508104E+03 -3.206067724850026E+02  1.665336875023101E+03  1.602237823795907E+21 -2.586620713458608E+20
  0.000000000000000E+00  1.584191707315719E+00 -1.182953120052656E+00  4.656891084592754E+00  1.354448439919678E+01  4.514828133065679E+00  4.514828133065679E+00  1.354448439919704E+01 -2.593480985524366E-13  2.999999999999943E+00  2.020655023668410E+03 -3.108837579486440E+02  1.709771265719765E+03  1.631246488365418E+21 -2.509721018696708E+20
  0.000000000000000E+00  1.584316108055235E+00 -1.182507635678594E+00  4.656976179731147E+00  1.381024865527688E+01  4.603416218425847E+00  4.603416218425847E+00  1.381024865527754E+01 -6.679101716144942E-13  2.999999999999855E+00  2.054341073488521E+03 -3.017308990201344E+02  1.752610174468386E+03  1.659511750577894E+21 -2.437404279641118E+20
  0.000000000000000E+00  1.584440508794751E+00 -1.182062151304532E+00  4.657061340640151E+00  1.406829746686656E+01  4.689432488955876E+00  4.689432488955876E+00  1.406829746686763E+01 -1.074695887837152E-12  2.999999999999771E+00  2.087004039092236E+03 -2.931483303660319E+02  1.793855708726204E+03  1.687038146457823E+21 -2.369676371652002E+20
